collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
PEDRFA21,28,eDNA (reads),Ameiurus melas/nebulosos,black/brown bullhead,,black/brown bullhead (Ameiurus melas),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],0,0.0000
PEDRFA21,29,eDNA (reads),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],0,0.0000
PEDRFA21,30,eDNA (reads),Catostomus occidentalis,Sacramento sucker,Sacramento sucker,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],20952,0.0830
PEDRFA21,31,eDNA (reads),Cottus asper,prickly sculpin,,prickly sculpin (Cottus asper),Cottidae: Cottus asper (prickly sculpin) [Native],506,0.0020
PEDRFA21,32,eDNA (reads),Cyprinus carpio,common carp,,common carp (Cyprinus carpio),Cyprinidae: Cyprinus carpio (common carp) [Introduced],6315,0.0250
PEDRFA21,33,eDNA (reads),Gambusia affinis,western mosquitofish,,western mosquitofish (Gambusia affinis),Poeciliidae: Gambusia affinis (western mosquitofish) [Introduced],7310,0.0289
PEDRFA21,34,eDNA (reads),Gasterosteus aculeatus,threespine stickleback,,threespine stickleback (Gasterosteus aculeatus),Gasterosteidae: Gasterosteus aculeatus (threespine stickleback) [Native],0,0.0000
PEDRFA21,35,eDNA (reads),Hysterocarpus traskii,tule perch,,tule perch (Hysterocarpus traskii),Embiotocidae: Hysterocarpus traskii (tule perch) [Native],4874,0.0193
PEDRFA21,36,eDNA (reads),Lavinia exilicauda,hitch,,hitch (Lavinia exilicauda),Cyprinidae: Lavinia exilicauda (hitch) [Native],0,0.0000
PEDRFA21,37,eDNA (reads),Lepomis cyanellus,green sunfish,,green sunfish (Lepomis cyanellus),Centrarchidae: Lepomis cyanellus (green sunfish) [Introduced],0,0.0000
PEDRFA21,38,eDNA (reads),Lepomis gulosus,warmouth,,warmouth (Lepomis gulosus),Centrarchidae: L. gulosus (warmouth) [Introduced],0,0.0000
PEDRFA21,39,eDNA (reads),Lepomis macrochirus,bluegill,,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],0,0.0000
PEDRFA21,40,eDNA (reads),Lepomis microlophus,redear sunfish,,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],2121,0.0084
PEDRFA21,41,eDNA (reads),Lepomis sp. ,undetermined sunfish,,undetermined sunfish,Centrarchidae: Lepomis sp. (undetermined sunfish) [Introduced],0,0.0000
PEDRFA21,42,eDNA (reads),Menidia beryllina complex,silverside,,silverside (Menidia beryllina),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],0,0.0000
PEDRFA21,43,eDNA (reads),Micropterus dolomieu,smallmouth bass,,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],3084,0.0122
PEDRFA21,44,eDNA (reads),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],16555,0.0655
